<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,deal<:SmsCallback:>,dealSmsCallback complete <:callback:>,receive <:*:>,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,begin Consume call,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,PushSmsOrderResult: <:result:>,getAppSmsLimit <:*:> not exist,scCallBack receive <:request:>,not find dictionary type=<:NUM:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,WeChatMsg Send WechatMsg <:*:> <:*:> <:overLimit:>,sanZi callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,send by <:*:> OrderID=<:SEQ:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,PushMailSendResult: <:result:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,scCallBack DealCallBack <:event:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,SendWeChatMsg <:*:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,dealSmsCallback dealSmsCallbackRetry <:order:>,<:NUM:> <:*:>,load <:*:> config ok,juhe sendSms <:rs:>,ykmsymsg <:*:> start kms,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,msg,timestamp,unknown
992,957,955,844,118,56,56,57,57,114,95,55,27,48,15,41,40,2,77,29,29,29,19,19,29,19,19,19,13,8,5,1,0,0,2,0,1,0,0,0,0,0,41,2023-08-18 15:14:02,4
1081,1060,1216,854,93,34,34,34,38,112,93,34,21,49,30,36,36,1,57,31,31,31,19,19,30,19,19,19,10,10,5,0,9,6,0,2,1,1,1,1,2,1,39,2023-08-18 15:16:02,12
984,949,925,844,93,46,46,48,38,88,73,45,8,34,71,38,38,3,55,21,21,21,15,15,19,15,15,15,15,13,5,2,4,6,2,2,1,1,1,1,2,1,41,2023-08-18 15:18:02,9
959,932,947,877,74,39,39,38,37,94,79,38,10,36,30,21,21,3,53,24,24,24,15,15,21,15,15,15,11,5,5,1,9,6,2,2,0,1,1,1,2,1,24,2023-08-18 15:20:02,18
1101,1066,1228,844,114,51,51,53,51,156,130,49,25,59,71,35,34,2,79,35,35,35,26,26,33,26,26,26,8,6,5,2,0,0,2,0,1,0,0,0,0,0,35,2023-08-18 15:22:02,13
1021,986,953,848,123,62,62,64,58,174,145,59,15,69,30,33,33,1,90,41,41,41,29,29,40,29,29,29,13,16,5,3,4,6,6,2,1,1,1,1,2,1,36,2023-08-18 15:24:02,11
1081,1043,1242,874,98,59,59,62,56,96,80,58,29,34,30,25,24,2,73,20,20,20,16,16,18,16,16,16,11,8,5,1,7,6,2,2,1,1,1,1,2,1,28,2023-08-18 15:26:02,8
976,942,929,853,85,45,45,48,46,72,60,44,14,32,71,26,25,0,59,24,24,24,12,12,20,12,12,12,10,9,5,1,6,6,3,2,1,1,1,1,2,1,29,2023-08-18 15:28:02,17
937,909,1064,982,86,57,57,56,54,54,45,54,23,19,30,20,19,3,66,15,15,15,9,9,10,9,9,9,9,2,5,3,8,6,0,2,0,1,1,1,2,1,23,2023-08-18 15:30:02,8
1076,1045,1370,983,114,55,55,55,53,102,85,54,24,37,71,43,40,4,71,23,23,23,17,17,20,17,17,17,10,7,5,1,0,0,2,0,1,0,0,0,0,0,43,2023-08-18 15:32:02,11
971,936,255,169,96,58,58,59,58,66,55,57,10,24,30,26,25,2,70,17,17,17,11,11,13,11,11,11,17,10,5,1,8,6,1,2,1,1,1,1,2,1,29,2023-08-18 15:34:02,7
1083,1048,376,0,102,59,59,63,56,108,90,57,20,44,30,26,26,1,75,28,28,28,18,18,26,18,18,18,14,3,5,1,9,6,2,2,1,1,1,1,2,1,29,2023-08-18 15:36:02,7
957,928,85,0,91,45,45,45,42,114,95,43,13,41,71,28,27,2,63,24,24,24,19,19,22,19,19,19,10,4,5,2,8,6,2,2,1,1,1,1,2,1,31,2023-08-18 15:38:02,7
