csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30
e65657183cb0767054e43e834762fcaf,1701180000,349.96875,334.234375,337.55078125,377.359375,381.9140625,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,369.29296875,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180120,369.29296875,334.234375,337.55078125,377.359375,381.9140625,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,349.96875,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180240,369.29296875,349.96875,337.55078125,377.359375,381.9140625,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,334.234375,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180360,369.29296875,349.96875,334.234375,377.359375,381.9140625,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,337.55078125,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180480,369.29296875,349.96875,334.234375,337.55078125,381.9140625,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,377.359375,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180600,369.29296875,349.96875,334.234375,337.55078125,377.359375,358.828125,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,381.9140625,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180720,369.29296875,349.96875,334.234375,337.55078125,377.359375,381.9140625,372.51171875,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,358.828125,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180840,369.29296875,349.96875,334.234375,337.55078125,377.359375,381.9140625,358.828125,366.76171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,372.51171875,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701180960,369.29296875,349.96875,334.234375,337.55078125,377.359375,381.9140625,358.828125,372.51171875,376.55859375,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,366.76171875,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
e65657183cb0767054e43e834762fcaf,1701181080,369.29296875,349.96875,334.234375,337.55078125,377.359375,381.9140625,358.828125,372.51171875,366.76171875,350.54296875,361.9921875,364.515625,377.0390625,370.76171875,352.2265625,376.55859375,356.65625,374.2578125,371.6015625,356.203125,381.2578125,364.7578125,344.78515625,367.875,369.32421875,369.16015625,371.46875,353.21875,350.10546875,345.046875
