parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
39,44,39,39,0,0,65,0,0,28,0,37,0,2,2,0,0,0,0,65,37,28,28,3,2,1,2,2,2,2,2,2,1,2023-11-29 10:00:00,8
38,39,38,38,0,0,65,0,0,28,0,37,0,1,1,0,0,0,0,65,37,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-29 10:02:00,2
39,39,39,39,0,0,64,0,0,27,0,37,0,2,2,0,0,0,0,64,37,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-29 10:04:00,0
37,37,37,37,0,0,62,0,0,26,0,36,0,1,1,0,0,0,0,62,36,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-29 10:06:00,0
49,49,49,49,0,0,71,0,0,25,0,46,0,3,3,0,0,0,0,71,46,25,25,2,2,2,2,2,2,2,2,2,1,2023-11-29 10:08:00,10
53,53,53,53,0,0,76,0,0,28,0,48,0,5,5,0,0,0,0,76,48,28,28,4,4,4,4,4,4,2,2,2,1,2023-11-29 10:10:00,0
44,44,44,44,0,0,67,0,0,26,0,41,0,3,3,1,0,0,0,67,41,26,26,2,2,2,2,2,2,2,2,2,0,2023-11-29 10:12:00,7
48,48,48,48,0,0,75,0,0,29,0,46,0,2,2,0,0,0,0,75,46,29,29,4,3,2,3,3,2,2,2,2,0,2023-11-29 10:14:00,4
34,34,34,34,0,0,112,0,0,29,0,83,0,2,2,1,0,0,0,112,32,29,29,5,5,1,4,4,4,2,2,2,0,2023-11-29 10:16:00,52
44,44,44,44,0,0,72,0,0,30,0,42,0,2,2,0,0,0,0,72,42,30,30,4,2,2,2,2,2,2,2,2,0,2023-11-29 10:18:00,6
