csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30,prediction
19930931b560277fcf06ecc09f41e752,1701421800,20.0,28.0,23.0,25.0,24.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,21.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701421920,20.0,28.0,23.0,25.0,24.0,21.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,214.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422040,20.0,28.0,23.0,25.0,24.0,21.0,214.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,23.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422160,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422280,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,73.0,23.0,24.0,27.0,23.0,16.0,21.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422400,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,23.0,24.0,27.0,23.0,16.0,73.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422520,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,24.0,27.0,23.0,16.0,23.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422640,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,27.0,23.0,16.0,24.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422760,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,23.0,16.0,27.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701422880,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,16.0,23.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701423000,20.0,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,7
19930931b560277fcf06ecc09f41e752,1701423120,28.0,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,29.0,7
19930931b560277fcf06ecc09f41e752,1701423240,23.0,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,29.0,28.0,7
19930931b560277fcf06ecc09f41e752,1701423360,25.0,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,29.0,28.0,27.0,7
19930931b560277fcf06ecc09f41e752,1701423480,24.0,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,29.0,28.0,27.0,24.0,7
19930931b560277fcf06ecc09f41e752,1701423600,21.0,214.0,23.0,18.0,21.0,73.0,23.0,24.0,27.0,23.0,16.0,18.0,28.0,24.0,132.0,18.0,28.0,30.0,27.0,23.0,20.0,26.0,23.0,38.0,26.0,29.0,28.0,27.0,24.0,29.0,7
