parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
5650,5657,5651,5651,2037,94,267,94,94,205,2037,62,94,190,190,186,94,94,94,267,62,27,27,3,3,4,3,3,3,2,2,2,4,2023-11-30 10:00:00,0
5585,5584,5584,5584,2000,88,267,88,88,221,2000,46,88,192,192,190,88,88,88,267,46,29,29,6,6,2,6,6,6,2,2,2,2,2023-11-30 10:02:00,0
5639,5640,5640,5640,2037,90,263,90,90,208,2037,55,90,180,180,179,90,90,90,263,55,27,27,3,3,0,3,3,3,2,2,2,1,2023-11-30 10:04:00,0
5683,5684,5682,5682,2038,87,270,87,87,209,2038,61,87,197,197,188,87,87,87,270,61,28,28,4,4,7,4,4,3,2,2,2,9,2023-11-30 10:06:00,1
5684,5685,5685,5685,2035,87,290,87,87,229,2035,61,87,194,194,189,87,87,87,290,61,30,30,6,6,1,6,6,5,2,2,2,5,2023-11-30 10:08:00,1
5651,5653,5651,5651,2035,99,278,99,99,222,2035,56,99,187,187,182,99,99,99,278,56,28,28,3,3,5,3,3,3,2,2,2,5,2023-11-30 10:10:00,0
5635,5635,5635,5635,2030,91,261,91,91,215,2030,46,91,180,180,179,91,91,91,261,46,27,27,3,3,1,3,3,3,2,2,2,1,2023-11-30 10:12:00,0
5625,5623,5623,5623,2036,88,240,88,88,209,2036,31,88,185,185,183,88,88,88,240,31,27,27,3,3,2,3,3,3,2,2,2,2,2023-11-30 10:14:00,0
5650,5653,5651,5651,2041,94,329,94,94,216,2041,113,94,188,188,187,94,94,94,329,62,31,31,7,7,1,6,6,6,2,2,2,1,2023-11-30 10:16:00,52
5661,5662,5662,5662,2043,81,268,81,81,205,2043,63,81,190,190,188,81,81,81,268,63,27,27,3,3,2,3,3,3,2,2,2,2,2023-11-30 10:18:00,10
5667,5668,5666,5666,2043,101,255,101,101,206,2043,49,101,190,190,188,101,101,102,255,49,27,27,3,3,1,3,3,3,2,2,2,2,2023-11-30 10:20:00,1
5632,5632,5632,5632,2029,89,256,89,89,216,2029,40,89,186,186,182,89,89,88,256,40,30,30,6,6,3,6,6,6,2,2,2,4,2023-11-30 10:22:00,0
5643,5644,5644,5644,2034,93,273,93,93,223,2034,50,93,186,186,183,93,93,93,273,50,27,27,3,3,2,3,3,3,2,2,2,3,2023-11-30 10:24:00,0
5606,5608,5606,5606,2018,98,266,98,98,206,2018,60,98,182,182,179,98,98,98,266,60,26,26,3,3,3,3,3,2,2,2,2,3,2023-11-30 10:26:00,1
5671,5670,5670,5670,2037,89,290,89,89,207,2037,83,89,188,188,182,89,89,89,290,83,28,28,4,4,5,4,4,3,2,2,2,6,2023-11-30 10:28:00,1
5643,5644,5642,5642,2036,86,278,86,86,214,2036,64,86,175,175,173,86,86,86,278,64,30,30,6,6,2,6,6,6,2,2,2,2,2023-11-30 10:30:00,0
5644,5646,5646,5646,2031,92,275,92,92,217,2031,58,92,194,194,190,92,92,92,275,58,27,27,3,3,2,3,3,3,2,2,2,4,2023-11-30 10:32:00,0
