@DumpDealerBills begin <:*:> trace={TraceID:<:SEQ:> <:*:>,@DumpDealerYesterDayBills end <:*:> count=<:NUM:> trace={TraceID:<:SEQ:> <:*:>,@[DumpDayBills] <:*:> trace={TraceID:<:SEQ:> <:*:>,dealerID=<:NUM:> <:*:> date=<:NUM:>-<:NUM:>-<:NUM:> <:*:> total=<:NUM:> <:*:> trace={TraceID:<:SEQ:> <:*:>,@[DumpDayOrdersV2] DumpDayOrdersByDealerID success <:*:> begin=<:NUM:>-<:NUM:>-<:NUM:> end=<:NUM:>-<:NUM:>-<:NUM:> trace={TraceID:<:SEQ:> <:*:>,DumpDayOrdersV2 success <:*:> <:*:> trace={TraceID:<:SEQ:> <:*:>,@DumpDealerOrders end <:*:> count=<:NUM:> trace={TraceID:<:SEQ:> <:*:>,DumpDealerOrders begin <:*:> <:NUM:>-<:NUM:>-<:NUM:> <:NUM:>-<:NUM:>-<:NUM:> trace={TraceID:<:SEQ:> <:*:>,@[DumpDayOrders] <:*:> trace={TraceID:<:SEQ:> <:*:>,FileSize Size=<:NUM:> <:*:> <:*:> day[<:NUM:>-<:NUM:>-<:NUM:> <:NUM:>-<:NUM:>-<:NUM:>) trace={TraceID:<:SEQ:> <:*:>,prometheus push <:*:>,timestamp,unknown
0,0,0,2034,988,988,0,0,0,0,4,2023-12-07 14:40:00,0
0,0,0,1998,980,980,0,0,0,0,4,2023-12-07 14:42:00,0
0,0,0,2066,1013,1013,0,0,0,0,4,2023-12-07 14:44:00,0
0,0,0,2006,1000,1000,0,0,0,0,4,2023-12-07 14:46:00,0
0,0,0,2026,1005,1005,0,0,0,0,4,2023-12-07 14:48:00,0
0,0,0,2030,1011,1011,0,0,0,0,4,2023-12-07 14:50:00,0
0,0,0,2056,1017,1017,0,0,0,0,4,2023-12-07 14:52:00,0
0,0,0,2020,1008,1008,0,0,0,0,4,2023-12-07 14:54:00,0
0,0,0,2075,1026,1026,0,0,0,0,4,2023-12-07 14:56:00,0
0,0,0,2067,1030,1030,0,0,0,0,4,2023-12-07 14:58:00,0
0,0,0,2071,1028,1028,0,0,0,0,4,2023-12-07 15:00:00,0
0,0,0,2009,1000,1000,0,0,0,0,4,2023-12-07 15:02:00,0
0,0,0,2074,1037,1037,0,0,0,0,4,2023-12-07 15:04:00,0
0,0,0,2032,1013,1013,0,0,0,0,4,2023-12-07 15:06:00,0
0,0,0,2106,1049,1049,0,0,0,0,4,2023-12-07 15:08:00,0
0,0,0,2046,1023,1023,0,0,0,0,4,2023-12-07 15:10:00,0
