csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30
ad921d60486366258809553a3db49a4a,1701224760,5.0,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
ad921d60486366258809553a3db49a4a,1701224880,5.0,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
ad921d60486366258809553a3db49a4a,1701225000,5.0,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
ad921d60486366258809553a3db49a4a,1701225120,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225240,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225360,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225480,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225600,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225720,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
ad921d60486366258809553a3db49a4a,1701225840,2.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,9.0,0.0,0.0,5.0,1.0,1.0,0.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0,1.0
