parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,no need compute team member perm,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
74,74,74,74,0,0,96,0,24,0,72,0,0,2,1,0,0,96,72,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:00:00,5
62,61,62,62,0,0,82,0,25,0,57,0,0,3,1,0,0,82,57,25,25,1,0,1,1,1,1,2,2,2,2023-11-30 15:02:00,9
57,57,57,57,0,0,76,0,24,0,52,0,0,5,5,2,0,76,52,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:04:00,15
44,46,44,44,0,0,66,0,26,0,40,0,0,4,2,0,0,66,40,26,26,1,0,0,0,0,0,2,2,2,2023-11-30 15:06:00,15
85,85,85,85,0,0,105,0,25,0,80,0,0,4,4,0,0,105,80,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:08:00,10
66,66,66,66,0,0,88,0,24,0,64,0,0,2,2,0,0,88,64,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:10:00,4
72,72,72,72,0,0,90,0,24,0,66,0,0,6,5,2,0,90,66,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:12:00,23
69,69,69,69,0,0,92,0,24,0,68,0,0,1,1,0,0,92,68,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:14:00,3
71,71,71,71,0,0,93,0,24,0,69,0,0,2,2,0,0,93,69,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:16:00,4
63,63,63,63,0,0,86,0,24,0,62,0,0,1,1,0,0,86,62,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:18:00,2
54,54,54,54,0,0,77,0,24,0,53,0,0,1,1,0,0,77,53,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:20:00,3
38,38,38,38,0,0,61,0,24,0,37,0,0,1,0,0,0,61,37,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:22:00,2
52,52,52,52,0,0,76,0,24,0,52,0,0,0,0,0,0,76,52,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:24:00,4
75,75,75,75,0,0,91,0,24,0,67,0,0,8,7,1,0,91,67,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:26:00,14
67,67,67,67,0,0,91,0,24,0,67,0,0,0,0,0,0,91,67,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:28:00,0
54,54,54,54,0,0,74,0,24,0,50,0,0,4,3,0,0,74,50,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:30:00,15
59,59,59,59,0,0,81,0,24,0,57,0,0,2,1,0,0,81,57,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:32:00,5
61,61,61,61,0,0,80,0,24,0,56,0,0,5,3,1,0,80,56,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:34:00,9
82,82,82,82,0,0,103,0,24,0,79,0,0,3,3,0,0,103,79,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:36:00,6
37,37,37,37,0,0,62,0,29,0,33,0,0,4,3,0,0,62,33,29,29,5,0,5,5,5,5,2,2,2,2023-11-30 15:38:00,8
64,64,64,64,0,0,85,0,24,0,61,0,0,3,3,0,0,85,61,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:40:00,14
52,52,52,52,0,0,73,0,24,0,49,0,0,3,2,0,0,73,49,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:42:00,10
56,62,56,56,0,0,80,0,24,0,56,0,0,0,0,0,0,80,56,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:44:00,28
53,55,53,53,0,0,176,0,26,0,150,0,0,5,4,1,0,176,48,26,26,2,0,2,0,0,0,2,2,2,2023-11-30 15:46:00,119
112,112,112,112,0,0,139,0,31,0,108,0,0,4,4,0,0,139,108,31,31,0,0,0,0,0,0,2,2,2,2023-11-30 15:48:00,8
53,53,53,53,0,0,76,0,24,0,52,0,0,1,0,0,0,76,52,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:50:00,2
65,65,65,65,0,0,87,0,24,0,63,0,0,2,2,0,0,87,63,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:52:00,4
55,55,55,55,0,0,74,0,24,0,50,0,0,5,4,1,0,74,50,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:54:00,8
53,53,53,53,0,0,74,0,24,0,50,0,0,3,3,1,0,74,50,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:56:00,4
68,68,68,68,0,0,86,0,24,0,62,0,0,6,5,0,0,86,62,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 15:58:00,13
46,46,46,46,0,0,67,0,24,0,43,0,0,3,3,0,0,67,43,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 16:00:00,6
76,76,76,76,0,0,96,0,24,0,72,0,0,4,3,0,0,96,72,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 16:02:00,8
58,58,58,58,0,0,80,0,24,0,56,0,0,2,2,0,0,80,56,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 16:04:00,9
71,71,71,71,0,0,94,0,24,0,70,0,0,1,0,0,0,94,70,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 16:06:00,5
