<:OVERLAP:>,Unnamed: 113,timestamp,unknown
0,0,2023-12-29 15:02:53,0
0,0,2023-12-29 15:04:53,0
0,0,2023-12-29 15:06:53,0
0,0,2023-12-29 15:08:53,0
0,0,2023-12-29 15:10:53,0
0,154,2023-12-29 15:12:53,3
0,437,2023-12-29 15:14:53,7
3,415,2023-12-29 15:16:53,7
17,814,2023-12-29 15:18:53,16
0,32,2023-12-29 15:20:53,2
0,33,2023-12-29 15:22:53,2
0,382,2023-12-29 15:24:53,7
2,24,2023-12-29 15:26:53,0
1,343,2023-12-29 15:28:53,7
0,16,2023-12-29 15:30:53,1
0,0,2023-12-29 15:32:53,0
0,16,2023-12-29 15:34:53,1
0,0,2023-12-29 15:36:53,0
0,172,2023-12-29 15:38:53,4
0,51,2023-12-29 15:40:53,3
0,34,2023-12-29 15:42:53,2
9,815,2023-12-29 15:44:53,19
0,119,2023-12-29 15:46:53,7
0,138,2023-12-29 15:48:53,2
0,0,2023-12-29 15:50:53,0
0,425,2023-12-29 15:52:53,11
0,265,2023-12-29 15:54:53,7
0,138,2023-12-29 15:56:53,2
0,0,2023-12-29 15:58:53,0
0,0,2023-12-29 16:00:53,0
0,690,2023-12-29 16:02:53,18
0,0,2023-12-29 16:04:53,0
1,12,2023-12-29 16:06:53,0
0,0,2023-12-29 16:08:53,0
0,50,2023-12-29 16:10:53,1
0,0,2023-12-29 16:12:53,0
0,0,2023-12-29 16:14:53,0
0,138,2023-12-29 16:16:53,2
0,0,2023-12-29 16:18:53,0
0,0,2023-12-29 16:20:53,0
0,0,2023-12-29 16:22:53,0
9,108,2023-12-29 16:24:53,0
0,0,2023-12-29 16:26:53,0
0,138,2023-12-29 16:28:53,2
0,0,2023-12-29 16:30:53,0
0,16,2023-12-29 16:32:53,1
2,24,2023-12-29 16:34:53,0
0,0,2023-12-29 16:36:53,0
0,138,2023-12-29 16:38:53,2
0,0,2023-12-29 16:40:53,0
0,0,2023-12-29 16:42:53,0
23,1529,2023-12-29 16:44:53,31
3,221,2023-12-29 16:46:53,5
1,517,2023-12-29 16:48:53,13
0,185,2023-12-29 16:50:53,5
0,0,2023-12-29 16:52:53,0
0,0,2023-12-29 16:54:53,0
5,60,2023-12-29 16:56:53,0
0,0,2023-12-29 16:58:53,0
3,52,2023-12-29 17:00:53,1
5,278,2023-12-29 17:02:53,4
6,881,2023-12-29 17:04:53,16
20,1472,2023-12-29 17:06:53,19
23,717,2023-12-29 17:08:53,12
12,754,2023-12-29 17:10:53,16
69,1838,2023-12-29 17:12:53,26
107,4491,2023-12-29 17:14:53,62
0,525,2023-12-29 17:16:53,12
0,32,2023-12-29 17:18:53,2
0,0,2023-12-29 17:20:53,0
0,0,2023-12-29 17:22:53,0
0,32,2023-12-29 17:24:53,2
0,0,2023-12-29 17:26:53,0
0,82,2023-12-29 17:28:53,3
6,72,2023-12-29 17:30:53,0
0,0,2023-12-29 17:32:53,0
0,0,2023-12-29 17:34:53,0
0,16,2023-12-29 17:36:53,1
0,32,2023-12-29 17:38:53,2
0,0,2023-12-29 17:40:53,0
0,32,2023-12-29 17:42:53,2
0,16,2023-12-29 17:44:53,1
0,0,2023-12-29 17:46:53,0
0,0,2023-12-29 17:48:53,0
1,154,2023-12-29 17:50:53,3
0,0,2023-12-29 17:52:53,0
34,2711,2023-12-29 17:54:53,41
0,0,2023-12-29 17:56:53,0
0,0,2023-12-29 17:58:53,0
0,0,2023-12-29 18:00:53,0
0,0,2023-12-29 18:02:53,0
0,0,2023-12-29 18:04:53,0
2,323,2023-12-29 18:06:53,5
0,299,2023-12-29 18:08:53,5
0,0,2023-12-29 18:10:53,0
45,885,2023-12-29 18:12:53,9
0,630,2023-12-29 18:14:53,8
0,0,2023-12-29 18:16:53,0
41,1214,2023-12-29 18:18:53,20
1,12,2023-12-29 18:20:53,0
0,0,2023-12-29 18:22:53,0
0,0,2023-12-29 18:24:53,0
0,0,2023-12-29 18:26:53,0
0,0,2023-12-29 18:28:53,0
0,0,2023-12-29 18:30:53,0
0,0,2023-12-29 18:32:53,0
0,0,2023-12-29 18:34:53,0
0,0,2023-12-29 18:36:53,0
0,0,2023-12-29 18:38:53,0
0,0,2023-12-29 18:40:53,0
0,0,2023-12-29 18:42:53,0
0,0,2023-12-29 18:44:53,0
0,2004,2023-12-29 18:46:53,36
0,0,2023-12-29 18:48:53,0
0,32,2023-12-29 18:50:53,2
0,0,2023-12-29 18:52:53,0
0,0,2023-12-29 18:54:53,0
0,0,2023-12-29 18:56:53,0
0,299,2023-12-29 18:58:53,5
0,0,2023-12-29 19:00:53,0
0,0,2023-12-29 19:02:53,0
0,0,2023-12-29 19:04:53,0
0,0,2023-12-29 19:06:53,0
0,0,2023-12-29 19:08:53,0
0,0,2023-12-29 19:10:53,0
0,0,2023-12-29 19:12:53,0
0,0,2023-12-29 19:14:53,0
1,12,2023-12-29 19:16:53,0
0,0,2023-12-29 19:18:53,0
0,0,2023-12-29 19:20:53,0
0,0,2023-12-29 19:22:53,0
0,0,2023-12-29 19:24:53,0
0,0,2023-12-29 19:26:53,0
1,12,2023-12-29 19:28:53,0
0,0,2023-12-29 19:30:53,0
0,0,2023-12-29 19:32:53,0
0,0,2023-12-29 19:34:53,0
0,0,2023-12-29 19:36:53,0
0,0,2023-12-29 19:38:53,0
0,0,2023-12-29 19:40:53,0
