rx_bytes,tx_bytes,timestamp
3709,1761,1650480718
3709,1761,1650480719
7179,0,1650480720
0,0,1650480721
0,0,1650480722
0,0,1650480723
297.5,158,1650480724
0,0,1650480725
0,0,1650480726
0,0,1650480727
0,0,1650480728
0,0,1650480729
0,0,1650480730
0,0,1650480731
0,0,1650480732
192.5,95,1650480733
192.5,95,1650480734
0,0,1650480735
0,0,1650480736
0,0,1650480737
0,0,1650480738
0,0,1650480739
0,0,1650480740
0,0,1650480741
0,0,1650480742
192.5,95,1650480743
192.5,95,1650480744
0,0,1650480745
0,0,1650480746
0,0,1650480747
0,0,1650480748
0,0,1650480749
0,0,1650480750
0,0,1650480751
0,0,1650480752
192.5,95,1650480753
0,0,1650480754
0,0,1650480755
0,0,1650480756
0,0,1650480757
0,0,1650480758
0,0,1650480759
0,0,1650480760
0,0,1650480761
0,0,1650480762
0,0,1650480763
192.5,95,1650480764
0,0,1650480765
0,0,1650480766
0,0,1650480767
0,0,1650480768
0,0,1650480769
0,0,1650480770
0,0,1650480771
0,0,1650480772
0,0,1650480773
385,190,1650480774
385,190,1650480775
0,0,1650480776
0,0,1650480777
74,0,1650480778
74,0,1650480779
619,880.5,1650480780
0,0,1650480781
0,0,1650480782
192.5,95,1650480783
126,126,1650480784
126,126,1650480785
0,0,1650480786
0,0,1650480787
0,0,1650480788
0,0,1650480789
0,0,1650480790
0,0,1650480791
0,0,1650480792
192.5,95,1650480793
0,0,1650480794
0,0,1650480795
0,0,1650480796
0,0,1650480797
0,0,1650480798
0,0,1650480799
0,0,1650480800
0,0,1650480801
0,0,1650480802
0,0,1650480803
192.5,95,1650480804
0,0,1650480805
0,0,1650480806
0,0,1650480807
0,0,1650480808
0,0,1650480809
0,0,1650480810
0,0,1650480811
0,0,1650480812
385,190,1650480813
385,190,1650480814
0,0,1650480815
0,0,1650480816
0,0,1650480817
0,0,1650480818
0,0,1650480819
0,0,1650480820
0,0,1650480821
0,0,1650480822
0,0,1650480823
192.5,95,1650480824
0,0,1650480825
0,0,1650480826
0,0,1650480827
0,0,1650480828
0,0,1650480829
0,0,1650480830
0,0,1650480831
0,0,1650480832
385,190,1650480833
385,190,1650480834
0,0,1650480835
0,0,1650480836
0,0,1650480837
0,0,1650480838
0,0,1650480839
619,881.5,1650480840
0,0,1650480841
0,0,1650480842
192.5,95,1650480843
84,84,1650480844
84,84,1650480845
21,21,1650480846
21,21,1650480847
0,0,1650480848
0,0,1650480849
0,0,1650480850
0,0,1650480851
0,0,1650480852
385,190,1650480853
385,190,1650480854
0,0,1650480855
0,0,1650480856
0,0,1650480857
0,0,1650480858
0,0,1650480859
0,0,1650480860
0,0,1650480861
0,0,1650480862
0,0,1650480863
385,190,1650480864
385,190,1650480865
0,0,1650480866
0,0,1650480867
0,0,1650480868
0,0,1650480869
0,0,1650480870
