数据集名称,异常情况,指标名称
26bb1584e0e3a74ec14be52eec268fad,正常,"irate(node_disk_written_bytes_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
7cdc0ca33bb506c3863f26e4cd7d8141,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-yos-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
de06979d043c476c739e8d1bb3a79c15,正常,"irate(node_disk_written_bytes_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
3f438d76043c0cc35d23446c36210250,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
c713774a405e34b96c05c5d4334e56d0,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
29158dde5eeea4d151ab3a8d2fb8931e,出现异常,"irate(node_disk_reads_completed_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
3ef3bde3ec13d1e570e0609ce3ea2f39,出现异常,[getOtpKey] <:*:> failed:>
607a8186abe170904c4aa391781865dc,正常,"irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
a97dd74d4b74f9fd4b6ba892fb66c57a,出现异常,"node_sockstat_TCP_alloc{hostname=~""bj3-rd-yos-prod-02""}"
3c849f3e30133c842c13c7d65dd48e30,正常,"sum(rate(std_requests_total{job=""be/yid"",code=~""2.."",environment=""prod""}[5m]))"
f6ccb0574e1aa6dfa7acfe855bf3f0ed,正常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-yos-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-yos-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
bdde7e67f9a95deec89f47f81a4c4d28,出现异常,"node_load1{hostname=~""bj3-rd-yos-prod-03""}"
1a2716f0775e9300c7518464840cf343,出现异常,[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>
195f1ef5bb116a44f59cc56fa3805ece,正常,"node_load15{hostname=~""bj3-rd-yos-prod-02""}"
7217d098f5e181358a205b1e180a0d3b,出现异常,"node_load5{hostname=~""bj1-rd-yos-prod-01""}"
8ba619860d5d299eb9ebeb6ed5a1b1ab,正常,"probe_duration_seconds{hostname=~""bj1-rd-yos-prod-01""}"
f48f2213be23318724c22d30aa3ec7b1,正常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-yos-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-yos-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
f1dad9aed76d589d4392020d2fefbbcc,出现异常,"irate(node_disk_writes_completed_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
23396d0dd4ea97aa7af94c024e292303,正常,"irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-yos-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
41196efa2e9e635b4e1614b35023c273,正常,"node_load15{hostname=~""bj3-rd-yos-prod-03""}"
6689748c163274d0b5ff0da639c826c0,出现异常,AuthSessionVali<:updateFanweiEmployee failed:>
618f72611b4ca585740176d000919f73,正常,"(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",grpc_code=~""Unknown|OK"",grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[2m]) or increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[2m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[2m])))*100"
e2e220cba8dbc89a9a7c445a3e5a4c03,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-yos-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-yos-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})"
7d149192ff62ce65437ce8f02b093c90,出现异常,"probe_duration_seconds{hostname=~""bj3-rd-yos-prod-03""}"
d7ec51e8880d8d6da083ce70bc13084d,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-yos-prod-01"", mode=~""idle""}[2m])) by (mode, hostname)"
43909a8782fa8a4888c62b67d7768e10,出现异常,"node_load5{hostname=~""bj3-rd-yos-prod-02""}"
7707f5028f4594ae685a0ae3e384a7fd,出现异常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""Unknown"",grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[5m]))"
1864b82636114c75c39835e1294619f7,正常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-yos-prod-03"", mode=~""idle""}[2m])) by (mode, hostname)"
d069794b5eb9c389fad4ff7366cbdfcf,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj3-rd-yos-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
25814db645b9840b611ea7f69e678f8d,正常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""OK"",grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[5m]))"
12d5cd61a42914cacec183ade297e1ff,正常,"[SimplePost] failed, <:ERRORPost:>"
6042bd12b7553fef48ece8db3634fe8f,正常,sync <:*:>
577e8f781b5cf7f2ce657af96f44bedc,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-yos-prod-02""}[2m])"
f565ad4dcd8c71ae492c926eb2cd68e8,正常,"1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""prod"",grpc_code=~""Unknown|OK""}[5m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""prod"",grpc_code!~""Unknown|OK""}[5m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",environment=""prod""}[5m])) or vector(1)"
f3523cf1c9ac77bc93cbc7a61bf8d578,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
51aafe0d283539e6f544458b3a8101d8,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-yos-prod-03""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-yos-prod-03""}))*100"
712615e43d6c2835e4df6e06acb62c01,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-yos-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)"
e728b8f15625cc0f2b65d6213315aa64,出现异常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""OK""}[5m]))"
1813611bb23d23a943980cdb9608722b,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-yos-prod-01""}"
a8b316b1ec122163ef3a36a8eb4be4a0,正常,"1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""prod"", bizcode=""6000""}[5m]) or increase(std_requests_total{job=""$service"",environment=""be/yid"", code=~""5..""}[5m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",environment=""prod""}[5m])))"
6a163021c878bd75eff0a9b2658d0e19,出现异常,"node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-yos-prod-03""}"
073655d53852254cc1f77f9eed2fdb35,正常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-yos-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-yos-prod-02""}))*100"
a9431b53f0bf565a524481022cedd055,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
a557d68555308de53f9b2a1fa5865e1d,出现异常,"probe_duration_seconds{hostname=~""bj3-rd-yos-prod-02""}"
1698f3366a82e7435c6cdc184efcc092,出现异常,"sum(rate(std_requests_total{job=""be/yid"",code=~""3.."",environment=""prod""}[5m]))"
