parseDataReportFlag ok,infra.grpc.invoker,get metadata from header,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,superiorAndDeputy empty,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown
5135,5135,5135,5136,2031,24,252,24,24,146,24,119,119,119,2031,106,24,24,24,252,106,28,28,4,0,4,4,4,4,2,2,2,0,2023-11-16 16:30:00,3
5134,5135,5134,5133,2034,24,149,24,24,145,24,118,118,118,2034,4,24,24,24,149,4,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 16:32:00,0
5130,5130,5130,5131,2029,24,149,24,24,144,24,118,118,118,2029,5,24,24,24,149,5,27,27,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:34:00,1
5154,5154,5154,5153,2039,24,156,24,24,144,24,119,119,119,2039,12,24,24,24,156,12,26,26,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:36:00,9
5112,5112,5112,5112,2019,24,160,24,24,145,24,118,118,117,2019,15,24,24,24,160,15,28,28,5,1,5,5,5,4,2,2,2,0,2023-11-16 16:38:00,1
5145,5145,5145,5145,2032,24,159,24,24,144,24,119,119,119,2032,15,24,24,24,159,15,26,26,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:40:00,0
5126,5126,5126,5126,2030,24,146,24,24,143,24,118,118,118,2030,3,24,24,24,146,3,26,26,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:42:00,0
5148,5148,5148,5149,2039,24,152,24,24,145,24,118,118,118,2039,7,24,24,24,152,7,27,27,3,0,3,3,3,2,2,2,2,0,2023-11-16 16:44:00,16
5145,5145,5145,5145,2035,24,153,24,24,146,24,119,119,119,2035,7,24,24,24,153,7,28,28,4,0,4,4,4,4,2,2,2,0,2023-11-16 16:46:00,0
5152,5152,5152,5151,2043,24,151,24,24,145,24,119,119,118,2043,6,24,24,24,151,6,27,27,3,1,3,3,3,3,2,2,2,0,2023-11-16 16:48:00,2
5146,5146,5146,5146,2042,24,147,24,24,143,24,119,119,119,2042,4,24,24,24,147,4,26,26,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:50:00,3
5146,5147,5146,5146,2039,24,149,24,24,144,24,118,118,118,2039,5,24,24,24,149,5,26,26,2,0,2,2,2,2,2,2,2,0,2023-11-16 16:52:00,1
5136,5136,5136,5137,2032,24,151,24,24,147,24,119,119,119,2032,4,24,24,24,151,4,29,29,5,0,5,5,5,5,2,2,2,0,2023-11-16 16:54:00,0
5133,5133,5133,5132,2037,24,405,24,24,403,24,118,118,118,2037,2,24,24,24,405,2,285,284,131,0,2,2,2,2,2,2,2,0,2023-11-16 16:56:00,389
5130,5130,5130,5130,2034,24,494,24,24,489,24,118,118,118,2034,5,24,24,24,494,5,372,373,176,0,3,3,3,3,2,2,2,0,2023-11-16 16:58:00,517
5128,5128,5128,5129,2033,24,325,24,24,320,24,121,121,119,2033,5,24,24,24,325,5,202,202,91,1,4,4,4,4,2,2,2,1,2023-11-16 17:00:00,261
5040,5039,5040,5040,1990,22,313,22,22,309,22,117,117,117,1990,4,22,22,22,313,4,193,193,87,0,4,4,4,4,2,2,2,0,2023-11-16 17:02:00,250
5131,5131,5131,5130,2031,24,150,24,24,145,24,118,118,118,2031,5,24,24,24,150,5,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:04:00,0
5135,5136,5135,5136,2034,24,150,24,24,145,24,119,119,118,2034,5,24,24,24,150,5,27,27,3,1,3,3,3,3,2,2,2,0,2023-11-16 17:06:00,9
5141,5141,5141,5140,2039,24,151,24,24,148,24,119,119,119,2039,3,24,24,24,151,3,31,31,7,0,7,7,7,7,2,2,2,0,2023-11-16 17:08:00,0
5131,5131,5131,5132,2031,24,150,24,24,145,24,118,118,118,2031,5,24,24,24,150,5,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:10:00,0
5152,5152,5152,5151,2033,24,163,24,24,146,24,120,120,119,2033,17,24,24,24,163,17,28,28,4,1,4,4,4,3,2,2,2,0,2023-11-16 17:12:00,1
5153,5153,5153,5153,2039,24,157,24,24,145,24,121,121,118,2039,12,24,24,24,157,12,27,27,3,1,3,3,3,3,2,2,2,2,2023-11-16 17:14:00,0
5149,5149,5149,5151,2038,24,159,24,24,148,24,122,122,119,2038,11,24,24,24,159,11,31,31,7,3,7,7,7,6,2,2,2,0,2023-11-16 17:16:00,1
5139,5139,5139,5137,2038,24,148,24,24,145,24,118,118,118,2038,3,24,24,24,148,3,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:18:00,0
5140,5140,5140,5140,2033,24,157,24,24,146,24,119,119,118,2033,11,24,24,24,157,11,28,28,4,1,4,4,4,4,2,2,2,0,2023-11-16 17:20:00,4
5135,5135,5135,5136,2028,24,152,24,24,144,24,119,119,119,2028,8,24,24,24,152,8,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:22:00,0
5151,5151,5151,5151,2041,24,211,24,24,150,24,119,119,118,2041,61,24,24,24,211,10,32,32,8,1,8,7,7,7,2,2,2,0,2023-11-16 17:24:00,52
5100,5100,5100,5099,2021,24,148,24,24,144,24,118,118,118,2021,4,24,24,24,148,4,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:26:00,0
5135,5135,5135,5136,2033,24,150,24,24,146,24,118,118,118,2033,4,24,24,24,150,4,28,28,4,0,4,4,4,3,2,2,2,0,2023-11-16 17:28:00,1
5132,5132,5132,5131,2034,24,147,24,24,144,24,119,119,119,2034,3,24,24,24,147,3,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 17:30:00,3
5143,5143,5143,5143,2039,22,157,22,22,148,22,118,118,118,2039,9,22,22,22,157,9,30,30,6,0,6,6,6,6,2,2,2,0,2023-11-16 17:32:00,1
5139,5139,5139,5139,2032,24,158,24,24,146,24,120,120,118,2032,12,24,24,24,158,12,28,28,4,2,4,4,4,3,2,2,2,0,2023-11-16 17:34:00,1
5145,5145,5145,5147,2043,24,151,24,24,145,24,120,120,119,2043,6,24,24,24,151,6,27,27,3,1,3,3,3,3,2,2,2,0,2023-11-16 17:36:00,0
5150,5150,5150,5148,2036,30,193,25,25,176,25,118,118,118,2037,17,24,24,25,193,17,59,59,21,0,7,7,7,7,2,2,2,0,2023-11-16 17:38:00,43
